127.0.0.1 - - [18/Apr/2022:09:19:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:19:22 +0900] "GET /studyhtml5/ch03/htmltag05_list.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:19:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:22:10 +0900] "GET /studyhtml5/ch03/htmltag05_list.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:22:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:24:31 +0900] "GET /studyhtml5/ch03/htmltag05_list.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:24:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:49:56 +0900] "GET /studyhtml5/ch03/htmltag06_a.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:49:56 +0900] "GET /studyhtml5/ch03/studyhtml5/WebContent/imgs/img02.jpg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:49:59 +0900] "GET /studyhtml5/ch03/htmltag05_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:58:15 +0900] "GET /studyhtml5/ch03/htmltag06_a.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:58:15 +0900] "GET /studyhtml5/WebContent/imgs/img02.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:58:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:58:17 +0900] "GET /studyhtml5/ch03/htmltag05_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:59:00 +0900] "GET /studyhtml5/ch03/htmltag06_a.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:59:00 +0900] "GET /studyhtml5/imgs/img02.jpg HTTP/1.1" 200 123623
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:59:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:59:44 +0900] "GET /studyhtml5/ch03/b.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:59:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:00:01 +0900] "GET /studyhtml5/ch03/a.html HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:00:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:18:23 +0900] "GET /studyhtml5/ch03/htmltag07_table.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:18:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:19:02 +0900] "GET /studyhtml5/ch03/htmltag07_table.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:20:36 +0900] "GET /studyhtml5/ch03/htmltag07_table.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:20:55 +0900] "GET /studyhtml5/ch03/htmltag07_table.html HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:33:32 +0900] "GET /studyhtml5/ch03/htmltag08_table.html HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:33:32 +0900] "GET /studyhtml5/imgs/img01.png HTTP/1.1" 200 640336
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:34:18 +0900] "GET /studyhtml5/ch03/htmltag08_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:34:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:42:23 +0900] "GET /studyhtml5/ch03/htmltag08_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:42:28 +0900] "GET /studyhtml5/ch03/htmltag09_table.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:44:54 +0900] "GET /studyhtml5/ch03/htmltag09_table.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [18/Apr/2022:10:48:02 +0900] "GET /studyhtml5/ch03/htmltag09_table.html HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:05:51 +0900] "GET /studyhtml5/ch03/htmltag10_table.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:06:01 +0900] "GET /studyhtml5/ch03/htmltag10_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:06:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:10:22 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:10:35 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:11:24 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:12:00 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:12:10 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:12:29 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:12:37 +0900] "GET /studyhtml5/ch03/htmltag11_table.html HTTP/1.1" 200 583
