127.0.0.1 - - [22/Apr/2022:09:25:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:25:18 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:25:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:26:58 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:26:59 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:27:01 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:27:37 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:01 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:08 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:37 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:38 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:28:44 +0900] "GET /studyhtml5/ch09/css01_text.html HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:47:04 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:47:52 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:48:20 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [22/Apr/2022:09:50:14 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:01:18 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:01:19 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:01:24 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:01:25 +0900] "GET /studyhtml5/ch09/css02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:08:43 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:08:43 +0900] "GET /studyhtml5/imgs/spring.png HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:09:33 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:10:32 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:11:32 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:02 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:16 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:42 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:46 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:47 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:12:47 +0900] "GET /studyhtml5/ch09/css03_text_vertical.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:16:24 +0900] "GET /studyhtml5/ch09/css04_text_indent.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [22/Apr/2022:10:16:50 +0900] "GET /studyhtml5/ch09/css04_text_indent.html HTTP/1.1" 200 875
