0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:10 +0900] "GET /studyhtml5/ch6/html05_object.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:10 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:10 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 523839
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:20 +0900] "GET /studyhtml5/ch6/html05_object.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:20 +0900] "GET /studyhtml5/ch6/initialization_parameter.pdf HTTP/1.1" 200 57589
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:20 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:15:20 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 523839
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:22:07 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:23:05 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:23:08 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:23:26 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:24:51 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:27:47 +0900] "GET /studyhtml5/ch6/html06_iframe.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:12:13:26 +0900] "GET /studyhtml5/ch6/board_list.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [20/Apr/2022:12:14:08 +0900] "GET /studyhtml5/ch6/board_list.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [20/Apr/2022:12:15:09 +0900] "GET /studyhtml5/ch6/board_list.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [20/Apr/2022:12:15:10 +0900] "GET /studyhtml5/ch6/board_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:12:17:26 +0900] "GET /studyhtml5/ch6/board_list.html HTTP/1.1" 200 495
